DtCustomer,Education,Marital,Kidhome,Teenhome,Income,MntFishProducts,MntMeatProducts,MntFruits,MntSweetProducts,MntWines,MntGoldProds,NumDealsPurchases,NumCatalogPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response
15-04-2008 19.34,High School,Single,2,0,1626528,8768,1876,1370,5284,12537,4839,13,5,4,12,25,94,0,0,0,0,1,0,1
18-01-1982 0.23,Professional,Single,2,0,805229,10179,18874,4661,8616,8258,6089,2,3,13,12,8,3,1,0,1,0,1,1,0
26-08-1984 1.46,High School,Widowed,0,1,405141,6124,8609,2954,9392,17066,7523,11,0,9,2,6,77,1,1,0,0,0,0,1
05-10-2010 21.28,None,Widowed,2,0,731810,2240,8781,1972,235,8967,9349,11,13,20,9,6,1,0,0,1,0,1,1,1
10-03-1983 0.23,Professional,Single,0,2,1719028,11255,11923,7984,2723,191,3058,10,10,24,7,6,83,1,1,1,1,1,0,0
25-04-1994 0.23,High School,Widowed,0,2,1124942,6681,9806,2387,4310,18377,15444,6,0,19,3,21,75,1,0,1,0,1,1,0
14-04-2002 17.39,PhD,Single,1,2,1815134,1051,7598,9978,2618,13196,4962,8,1,16,8,26,75,1,0,1,0,0,0,0
16-03-1978 18.16,Professional,Widowed,1,2,777610,3172,13212,1450,8110,2945,3855,14,5,8,14,0,57,1,1,1,0,0,1,1
22-07-1990 9.49,Professional,Widowed,2,0,514448,1200,15298,8720,3523,12433,2175,8,4,23,7,28,40,1,0,1,1,0,0,0
22-04-1996 22.27,High School,Married,2,0,1531180,12609,1651,4477,370,5842,19261,12,0,18,13,28,17,1,0,1,1,1,1,1
13-01-2010 11.00,None,Divorced,1,0,1596763,13048,14110,7726,2890,4737,4766,10,12,7,14,11,89,1,1,1,1,1,0,0
16-10-2021 21.35,Masters,Separated,2,1,1086636,13831,4343,5668,4128,1850,6084,9,4,13,8,25,47,0,0,0,1,0,1,0
26-06-1984 17.18,Masters,Separated,1,1,1708404,2716,13002,4556,896,19556,4309,14,4,4,9,21,90,0,1,0,0,0,1,0
20-06-2022 7.35,None,Divorced,1,0,1973984,12013,15487,4315,9480,5191,17738,4,3,6,14,14,60,1,0,0,0,1,0,0
14-06-1995 8.54,None,Separated,1,0,1202919,5542,8954,5987,6206,12022,1740,3,2,10,5,16,47,0,1,0,0,0,0,1
11-01-1990 15.12,PhD,Single,1,1,682744,2664,17000,3088,2467,447,10528,1,1,23,13,4,50,0,0,1,1,1,1,0
03-06-1974 7.41,High School,Widowed,1,1,1119549,12861,229,2439,6850,9686,19708,9,0,14,4,29,2,0,0,0,0,0,1,0
05-04-1979 5.45,High School,Married,1,1,637783,2085,17625,8938,3082,11127,19757,2,2,22,9,19,74,0,1,0,0,0,0,1
05-02-1987 17.10,High School,Single,1,1,450098,6243,15407,9017,4272,7166,8678,8,9,8,2,16,72,0,1,0,0,1,1,1
21-01-2021 11.28,High School,Widowed,0,2,1454205,465,1644,7877,9503,8427,12097,7,7,4,5,29,19,1,0,0,1,0,1,1
12-12-1998 20.47,PhD,Divorced,0,1,292998,3259,14315,8739,1470,23061,19958,2,6,21,6,26,4,0,0,1,1,1,1,1
14-09-1991 17.40,High School,Widowed,1,2,557516,4186,2593,4720,5621,10835,12553,14,10,23,7,6,61,1,0,1,0,0,0,0
09-06-1971 0.52,PhD,Separated,0,2,1232819,7733,7680,4679,1363,10532,11442,4,13,7,10,6,90,1,0,0,1,0,0,0
19-09-2015 9.06,None,Divorced,2,2,1370820,2610,7429,1886,1891,5278,9449,11,7,22,10,23,23,0,0,1,1,1,0,1
07-08-1983 9.37,None,Married,1,1,1778898,2367,17002,3693,8838,10338,2783,1,10,23,4,21,56,0,1,1,0,0,1,0
22-03-1977 7.04,Professional,Divorced,0,2,1597326,4095,5694,7735,1339,3644,16431,10,2,9,1,12,28,1,1,0,1,1,1,1
09-08-1973 1.15,Masters,Divorced,2,2,841812,10509,11435,771,9446,15483,6182,3,12,10,12,28,26,1,0,1,0,1,1,0
01-07-2012 21.44,Professional,Single,0,1,1944741,12830,13082,6191,1526,21546,16516,1,11,2,5,25,5,1,1,0,1,1,0,1
20-08-2021 10.19,None,Divorced,0,0,1221112,12371,16937,4995,1342,7774,14083,3,7,16,8,17,20,1,1,1,1,0,1,1
05-11-1988 10.38,Masters,Separated,0,2,1610374,11540,2843,6296,6426,17597,6359,5,0,21,3,6,60,0,0,0,1,1,0,0
30-09-1970 17.52,Professional,Single,2,1,1830237,5422,13936,7681,4346,16712,7100,1,4,9,11,10,30,1,0,1,0,1,0,0
12-02-2007 11.05,Bachelors,Single,1,0,960970,5132,4354,676,2818,15963,17240,8,9,0,9,15,93,0,0,0,1,0,0,0
11-10-1999 17.18,Bachelors,Widowed,0,2,940570,10161,17427,2693,1899,3819,5860,6,2,2,12,2,89,1,1,0,0,0,1,1
09-03-1980 4.16,Bachelors,Widowed,2,1,1748674,5420,13452,5006,2521,22468,5900,4,5,16,1,5,0,0,0,0,0,0,1,0
21-06-1976 22.29,Bachelors,Separated,1,0,669462,5737,4383,1151,5928,17575,531,4,4,9,10,25,55,1,1,1,1,0,1,0
06-06-1996 9.40,High School,Single,1,2,356261,8701,18097,2213,3412,12083,1284,10,11,0,9,8,93,1,1,0,1,0,1,1
21-10-1978 4.54,None,Widowed,1,0,1713873,13299,12766,5442,5861,23850,14580,10,0,8,9,25,27,0,1,1,0,1,1,1
03-11-1988 0.17,High School,Divorced,2,0,587118,10428,5686,9011,4935,18468,5009,5,9,2,4,2,44,1,1,1,1,0,1,0
08-08-2008 2.35,Professional,Widowed,0,0,1300513,10186,1771,4282,6380,23018,10434,1,9,0,2,10,22,1,1,1,0,0,1,0
06-04-1970 10.41,PhD,Separated,0,1,1312348,12077,19943,2370,6305,24877,9822,6,8,15,9,25,32,0,1,1,0,0,0,0
31-10-2004 21.43,High School,Single,2,2,887042,1270,3920,7239,446,13000,14871,14,4,5,7,26,87,0,1,1,0,1,0,0
31-03-1975 7.06,Bachelors,Widowed,0,0,461576,14637,10354,3967,8952,14091,15544,7,5,3,7,4,47,1,1,1,1,1,1,0
10-09-2000 18.15,Bachelors,Single,2,2,938706,532,6156,8080,4633,17169,16702,3,14,0,10,24,18,0,1,0,1,0,1,0
14-12-2007 23.35,High School,Separated,0,0,1767116,10558,13925,9236,56,19730,19318,0,9,12,1,14,66,1,0,0,1,1,0,1
01-12-1974 15.57,Masters,Separated,0,0,1184557,4699,2163,1618,5078,5568,7379,8,11,7,0,17,50,1,1,0,1,0,0,0
09-02-1970 17.51,High School,Married,2,0,1893365,13719,9357,4781,3505,16375,9975,13,5,20,12,4,5,1,1,1,1,1,0,1
24-09-1970 13.43,None,Single,1,1,675420,5282,2678,9577,8373,8374,1047,5,12,7,10,15,76,1,1,1,0,1,1,1
12-09-2020 12.16,PhD,Single,1,1,1040040,9378,9123,9498,8413,5300,3143,2,14,6,3,26,21,1,1,1,0,0,0,0
05-08-1970 5.14,Professional,Married,1,2,802703,9169,6892,3324,8126,4201,9974,2,1,5,5,12,48,0,0,0,1,1,0,1
07-05-2004 16.42,None,Separated,0,2,646268,5694,3006,1793,218,2986,2847,14,12,10,14,9,56,1,0,1,0,1,1,0
29-05-2005 14.21,Professional,Single,2,1,1923776,486,1085,4684,7102,20311,11323,13,9,17,7,17,42,0,0,1,0,1,1,1
17-11-1970 12.25,Professional,Divorced,2,1,341942,4444,12523,8458,7997,19358,12391,12,6,11,9,8,70,1,0,0,0,0,0,1
14-11-2001 22.37,PhD,Married,1,2,1717188,8256,4564,130,371,18969,7380,7,11,23,13,19,72,1,1,1,0,0,1,0
10-10-1979 7.18,PhD,Separated,2,2,1051405,826,1824,468,5758,5637,13080,11,2,3,10,21,85,1,1,1,1,0,0,0
04-11-1993 13.30,Masters,Divorced,1,1,1554477,11257,9459,1805,9336,2447,18796,0,10,2,12,6,35,1,1,0,1,1,0,0
03-05-1973 19.40,PhD,Widowed,1,0,1536523,11500,8607,7183,4219,13717,17344,4,11,4,14,12,91,0,0,1,1,1,1,0
31-07-1970 20.24,High School,Married,1,2,514011,2483,5458,2962,7443,912,11054,8,6,13,5,16,27,1,1,0,0,1,0,1
23-10-1988 0.13,PhD,Separated,1,0,784427,423,9659,519,7904,13074,1676,5,3,17,9,2,72,0,0,1,1,1,1,0
10-10-1990 13.42,None,Married,0,0,253179,6991,16947,603,809,7945,5775,14,7,14,7,28,95,0,0,1,1,0,1,1
29-05-1991 19.15,None,Divorced,2,2,467143,1291,5002,1227,6679,5667,13788,12,3,2,6,4,0,1,1,0,0,0,1,0
16-06-2022 22.30,Bachelors,Single,2,0,1531893,5654,8138,5760,4174,13353,6566,2,11,7,9,14,29,1,0,1,0,1,0,0
04-06-2021 10.08,None,Married,0,0,983000,12732,16476,9519,4401,1874,11517,6,14,12,0,22,33,0,0,0,0,0,0,0
05-09-1973 21.18,Masters,Widowed,1,1,376139,9528,2362,3933,6684,8771,1628,8,14,18,4,28,49,1,1,1,1,1,1,0
11-10-1971 20.17,High School,Separated,1,0,899162,9485,2332,9898,1497,2626,5643,4,7,1,13,0,83,0,1,1,0,0,1,1
28-11-2008 14.07,None,Divorced,1,2,1188259,11518,14697,7708,5873,24208,17896,6,2,5,2,28,7,1,0,0,0,0,0,0
20-11-2021 9.16,Professional,Separated,0,2,831743,9596,19729,3066,6413,1162,6754,2,5,23,11,14,69,0,0,1,1,0,0,1
31-10-1999 0.00,Masters,Widowed,1,0,1418764,13353,2266,8274,1016,10217,14520,3,2,22,0,12,96,0,1,1,0,0,0,1
06-08-1994 21.14,PhD,Divorced,2,2,929806,1509,5965,8869,8997,14116,19036,14,6,12,7,14,43,0,0,0,0,1,0,1
23-12-2002 6.34,PhD,Married,0,2,504402,2295,6083,1696,5595,18544,5601,7,7,3,5,16,79,0,0,0,1,0,0,0
19-03-1977 11.03,Bachelors,Single,1,1,1209011,4488,5574,4333,3912,19651,10057,1,11,4,7,24,30,0,0,1,0,0,0,1
12-10-1997 8.17,PhD,Single,0,0,749372,10177,9948,3999,2601,10963,19556,13,12,4,8,0,77,1,1,1,0,1,0,1
16-04-1987 19.20,High School,Single,0,2,1364904,3303,18903,9173,9790,18405,3887,3,0,3,11,1,7,1,0,1,1,1,1,1
26-08-1995 4.10,Professional,Divorced,0,1,476495,9702,4647,6373,9761,22297,12038,7,5,19,6,8,84,0,0,0,0,1,1,0
29-10-2015 0.44,None,Divorced,1,2,243950,10777,3354,8540,765,22170,8584,2,12,12,6,1,37,0,0,1,1,1,1,0
12-09-1970 8.32,Masters,Divorced,2,2,936212,5024,14526,1579,1024,12169,6415,1,7,10,11,23,42,0,1,1,0,0,0,0
24-12-1981 19.31,Bachelors,Married,1,2,240785,2577,17758,1978,3366,17878,13559,10,4,7,13,3,78,1,0,0,1,0,0,0
21-03-2005 4.52,PhD,Married,2,0,1771784,10965,2473,6852,4515,5914,9037,7,14,1,12,28,94,1,1,0,0,0,0,1
31-05-2017 7.42,Professional,Separated,0,1,1459356,8556,12511,9567,3937,19456,12161,0,1,3,11,0,70,0,0,0,0,1,1,1
19-02-1971 11.12,Masters,Single,0,1,378062,12300,14678,8767,1127,5057,11825,10,5,4,11,19,11,1,1,0,0,0,0,1
12-11-1975 11.33,PhD,Widowed,1,1,554465,8676,19467,9834,548,11729,19033,0,6,19,13,27,40,0,1,0,1,0,1,0
12-09-1986 8.26,None,Widowed,2,0,1230453,7948,8548,1124,619,10612,9825,13,8,19,0,4,77,0,1,1,0,0,0,0
22-12-1997 18.46,Bachelors,Separated,0,2,1785247,3072,17491,6120,5288,7249,10414,13,5,2,10,29,62,1,1,1,0,1,1,0
04-09-1978 14.06,Bachelors,Widowed,1,1,1666677,11459,9191,4208,6439,21615,7377,11,3,19,1,0,87,0,0,1,1,1,1,0
14-05-1977 23.00,Professional,Married,2,0,1253705,9316,563,3995,9448,8816,1329,4,13,5,6,8,98,1,1,0,1,0,1,0
19-03-1974 16.09,PhD,Widowed,0,2,1121708,11198,6942,4456,4012,8638,12754,9,3,18,10,20,19,1,0,1,0,0,0,1
22-08-2001 20.39,Masters,Married,1,0,811616,11381,8801,9531,7590,22582,227,13,6,8,2,23,50,1,1,0,0,0,1,0
03-09-2007 12.32,Professional,Divorced,0,1,270383,4602,171,5975,3,20487,11791,7,8,22,4,12,94,1,1,1,1,0,0,0
01-02-2013 11.21,Bachelors,Separated,0,2,1003944,1785,18419,1434,2787,9371,6317,6,3,5,8,20,24,1,0,1,0,0,0,1
29-09-2012 17.51,None,Married,0,1,1765013,193,13682,9629,4069,21754,16775,13,12,0,8,9,25,1,0,0,1,1,1,1
24-12-1988 12.17,PhD,Divorced,2,2,877479,4008,3117,7425,253,6632,4462,6,13,7,12,26,46,0,0,1,1,1,1,0
13-11-1977 2.35,Masters,Divorced,0,2,677834,5447,10901,6861,8959,2147,16997,3,6,15,6,0,46,1,1,0,0,1,0,0
22-01-1974 9.56,Bachelors,Widowed,0,1,1634849,7112,13551,2726,6963,2466,2608,6,14,4,14,10,17,1,1,0,1,1,0,1
11-06-1981 16.29,Masters,Divorced,2,2,1826652,11228,19009,3322,3663,4899,17008,14,13,5,1,10,81,0,0,1,0,1,0,0
26-11-2005 9.25,PhD,Widowed,1,2,1483202,7460,4049,9880,7626,6225,19116,12,1,1,11,8,2,0,1,0,0,0,0,0
08-11-1995 5.14,PhD,Widowed,1,0,1739962,13311,14797,4385,6054,22999,7923,6,6,12,1,2,43,1,1,1,0,0,0,1
30-03-2009 2.12,PhD,Separated,1,0,310221,13793,432,7023,4980,21486,12394,6,1,4,12,23,60,0,0,1,0,0,1,1
08-02-1985 10.49,Professional,Single,1,0,781866,3717,17890,7784,7813,9012,7174,3,2,20,3,22,92,0,0,0,0,1,1,1
05-06-1985 9.06,Professional,Single,0,0,263243,5725,10284,5997,3275,18654,8322,14,13,2,9,5,98,1,0,1,0,1,0,1
24-05-1975 9.30,None,Widowed,2,2,699534,5789,12092,4159,6422,20478,17975,5,3,1,2,18,81,1,0,1,1,0,0,1
11-01-2018 20.05,None,Divorced,1,0,839961,7125,7205,4789,9705,12370,4799,5,5,13,4,15,73,0,1,0,1,0,1,1
19-01-1980 12.24,Bachelors,Separated,2,1,1585195,4733,12889,4261,2119,964,5568,14,5,5,3,23,70,1,1,1,0,1,1,0
15-08-1991 22.07,Professional,Single,2,2,1529607,2536,19681,3088,6065,18036,13677,8,13,22,11,1,34,0,0,1,1,0,1,0
25-02-2017 3.43,Bachelors,Married,0,0,1451346,12430,2366,3408,5834,4388,19643,2,12,11,1,24,95,0,1,1,0,1,1,1
04-03-2015 23.24,Masters,Divorced,0,2,792563,8374,12946,9508,6473,10117,11833,7,6,0,11,29,18,1,1,0,0,1,1,1
24-05-1988 5.38,High School,Married,2,2,848065,34,3158,5889,7816,2628,11620,0,3,14,4,7,56,0,1,0,1,1,0,0
05-04-2004 9.51,Bachelors,Single,0,1,869375,12204,3699,4189,7773,14656,5513,12,6,10,5,19,66,0,1,1,0,0,1,1
15-12-2003 16.27,None,Separated,0,0,1603686,2735,7655,461,9646,22385,10158,9,0,20,14,25,88,0,1,0,1,1,0,0
03-04-2021 0.30,Professional,Separated,2,0,697273,5792,16292,5280,7608,12603,1024,0,5,20,2,27,25,1,1,1,0,1,1,1
